TCP Port 935 | open | No banner detected
TCP Port 940 | open | No banner detected
TCP Port 941 | open | No banner detected
TCP Port 942 | open | No banner detected
TCP Port 943 | open | No banner detected
TCP Port 945 | open | No banner detected
TCP Port 946 | open | No banner detected
TCP Port 944 | open | No banner detected
TCP Port 947 | open | No banner detected
TCP Port 948 | open | No banner detected
TCP Port 949 | open | No banner detected
TCP Port 950 | open | No banner detected
TCP Port 952 | open | No banner detected
TCP Port 953 | open | No banner detected
TCP Port 951 | open | No banner detected
TCP Port 954 | open | No banner detected
TCP Port 955 | open | No banner detected
TCP Port 956 | open | No banner detected
TCP Port 958 | open | No banner detected
TCP Port 960 | open | No banner detected
TCP Port 959 | open | No banner detected
TCP Port 957 | open | No banner detected
TCP Port 961 | open | No banner detected
TCP Port 962 | open | No banner detected
TCP Port 966 | open | No banner detected
TCP Port 965 | open | No banner detected
TCP Port 964 | open | No banner detected
TCP Port 963 | open | No banner detected
TCP Port 820 | open | No banner detected
TCP Port 812 | open | No banner detected
TCP Port 816 | open | No banner detected
TCP Port 815 | open | No banner detected
TCP Port 809 | open | No banner detected
TCP Port 854 | open | No banner detected
TCP Port 910 | open | No banner detected
TCP Port 967 | open | No banner detected
TCP Port 970 | open | No banner detected
TCP Port 968 | open | No banner detected
TCP Port 969 | open | No banner detected
TCP Port 971 | open | No banner detected
TCP Port 972 | open | No banner detected
TCP Port 976 | open | No banner detected
TCP Port 977 | open | No banner detected
TCP Port 973 | open | No banner detected
TCP Port 975 | open | No banner detected
TCP Port 974 | open | No banner detected
TCP Port 978 | open | No banner detected
TCP Port 982 | open | No banner detected
TCP Port 980 | open | No banner detected
TCP Port 979 | open | No banner detected
TCP Port 981 | open | No banner detected
TCP Port 983 | open | No banner detected
TCP Port 984 | open | No banner detected
TCP Port 985 | open | No banner detected
TCP Port 986 | open | No banner detected
TCP Port 988 | open | No banner detected
TCP Port 987 | open | No banner detected
TCP Port 989 | open | No banner detected
TCP Port 990 | open | No banner detected
TCP Port 991 | open | No banner detected
TCP Port 992 | open | No banner detected
TCP Port 995 | open | No banner detected
TCP Port 994 | open | No banner detected
TCP Port 996 | open | No banner detected
TCP Port 993 | open | No banner detected
TCP Port 997 | open | No banner detected
TCP Port 998 | open | No banner detected
TCP Port 1003 | open | No banner detected
TCP Port 1005 | open | No banner detected
TCP Port 1011 | open | No banner detected
TCP Port 1004 | open | No banner detected
TCP Port 1006 | open | No banner detected
TCP Port 1002 | open | No banner detected
TCP Port 1012 | open | No banner detected
TCP Port 1001 | open | No banner detected
TCP Port 1009 | open | No banner detected
TCP Port 1010 | open | No banner detected
